Liczba Obiektów	Czas w ms	Średnia
10000000	2279,0465	
10000000	2259,7894	
10000000	2284,6457	
10000000	2275,8308	
10000000	2325,0515	
10000000	2281,4868	
10000000	2323,8567	
10000000	2283,6445	
10000000	2284,7829	
10000000	2308,3668	
10000000	2289,7615	
10000000	2282,318	
10000000	2325,2867	
10000000	2274,2425	
10000000	2302,1682	
10000000	2113,2052	
10000000	2004,9219	
10000000	2104,3432	
10000000	2013,8887	
10000000	2132,8543	
10000000	1992,338	
10000000	2066,6806	
10000000	2018,5784	
10000000	1977,5199	
10000000	2061,3095	
10000000	2080,153	
10000000	2050,9606	
10000000	1990,3318	
10000000	2004,0768	
10000000	2036,7853	
10000000	2168,1676	
10000000	2092,1024	
10000000	2268,9875	
10000000	2255,3692	
10000000	2148,6733	
10000000	2122,3747	
10000000	2051,6105	
10000000	2058,0328	
10000000	2269,2336	
10000000	2187,3119	
10000000	2231,4749	
10000000	2149,3303	
10000000	2155,5871	
10000000	1996,0184	
10000000	1987,4103	
10000000	2067,4908	
10000000	2022,5421	
10000000	2146,8119	
10000000	2298,698	
10000000	2299,7777	
10000000	2298,3145	
10000000	2308,6829	
10000000	2304,2085	
10000000	2296,4529	
10000000	2282,3169	
10000000	2245,8079	
10000000	2255,3683	
10000000	2249,6304	
10000000	2256,794	
10000000	2286,0651	
10000000	2194,162	
10000000	2164,4263	
10000000	2243,7078	
10000000	2185,3934	
10000000	2029,0393	
10000000	2305,9452	2216,830726
